rank,retailer_or_operator,entity_type,online_home_goods_focus,home_goods_categories,reverse_logistics_model,buyer_program_url,secondary_url,truckload_access,typical_inventory_grades,ships_from,how_to_buy_truckloads,upstream_tier,requires_resale_cert,legitimacy_score,honest_limitations,customer_verdict,customer_why
1,Wayfair,e_retailer,primary,furniture_decor_rugs_mattress_lighting,Retailer DC disposition via official B2B marketplace,https://bstock.com/wayfair,https://www.liquidation.com/c/wayfair-truckloads,Yes_TL_and_LTL,Customer returns; overstock; box damage; Used Fair/Good per lot,US DCs (e.g. FL MD PA per auction),Register at Wayfair B-Stock; reseller cert; bid truckloads; filter Furniture category; compare Liquidation.com Wayfair TL as comp,1_retailer_direct_marketplace,Yes,5,Closest public path to Wayfair return-center output; still auction not private RC tour; premium grade competes up,,,
2,Amazon.com / FBA,e_retailer,strong_mix,home_kitchen_furniture_decor_in_GM_lots,Amazon fulfillment returns liquidated via official B2B storefront,https://bstock.com/amazon,https://www.liquidation.com/c/truckloads,Yes_TL_LTL_pallet,Uninspected returns; overstock; condition codes on manifest,Multiple US FC regions,Apply Amazon US Liquidation Auctions on B-Stock; target Home & Kitchen / furniture-heavy lots; avoid mystery coffin boxes unless experienced,1_retailer_direct_marketplace,Yes,5,Real Amazon return flow; home goods often buried in GM—read manifest; not single-category furniture only,,,
3,Walmart.com / Walmart,e_retailer,strong,housewares_furniture_GM_home_decor,Retailer.com returns to Walmart DCs → official liquidation auctions,https://liquidations.walmart.com,https://walmart.bstock.com/faq/,Yes_TL_LTL_pallet,Dotcom returns; overstock; store salvage mixes,DCs: IN NV SC TX NY and others per FAQ,Register Walmart Liquidation Auctions; reseller cert; merchandise confirmed from Walmart.com DCs; arrange freight or pay listed shipping,1_retailer_direct_marketplace,Yes,5,FAQ states inventory from Walmart.com distribution centers—this is the online-return pipeline,,,
4,Target / Target.com,e_retailer,strong,storage_organization_tabletop_kitchen_home_decor_GM,Target Reverse Logistics Centers → official Target Liquidations,https://bstock.com/buy/seller/target,https://bstock.com/target-contracts-wholesale-and-liquidation/,Yes_TL_contracts_and_auctions,Customer returns (online + stores); Used-Fair common; salvage tiers,Indianapolis IN; Baltimore MD; other RLCs,Apply Target Liquidations; for recurring TL see Target Customer Returns Contracts (manifested categories e.g. Storage Organization Tabletop Kitchen); binding ship—no pickup on many lots,1_retailer_direct_marketplace,Yes,5,Trade press cites Target RLCs; contracts page lists home-relevant categories with sample manifests,,,
5,The Home Depot / homedepot.com,e_retailer,strong_adjacent,appliances_lighting_flooring_decor_tools_outdoor_furniture,Retailer returns/overstock via official marketplace,https://bstock.com/homedepot,https://bstock.com/blog/how-to-buy-home-depot-liquidation/,Yes_TL_LTL,Returns; overstock; scratch dent appliances; home decor lots,US DCs per auction title,Register Home Depot Liquidation Auctions; filter home décor/furniture lots; dock or forklift often required on TL,1_retailer_direct_marketplace,Yes,5,Major online + store returns; heavy appliances vs soft goods—match customer capability,,,
6,Lowe's / Lowes.com,e_retailer,strong_adjacent,appliances_home_garden_furniture_lighting_tools,Internet returns consolidated; official B-Stock TL program,https://bstock.com/lowes,https://bstock.com/lowes/faq/,Yes_TL_primary,Internet returns; unmanifested TL mixes; appliances often floor-loaded,US locations e.g. Wilkesboro NC,Apply Lowe's Liquidation; note FAQ: often FULL TRUCKLOAD only; titles include Tools Home Garden Small Appliances,1_retailer_direct_marketplace,Yes,5,Explicit internet returns in auction titles; TL-only may exclude smaller buyers,,,
7,Costco / Costco.com,e_retailer,strong,home_furnishings_rugs_appliances_domestics_patio,Membership retailer returns/overstock via official B2B marketplace,https://bstock.com/buy/seller/costco,https://bstock.com/costco/faq/,Yes_TL_LTL,Like-new; good/fair returns; overstock; approval required,Multiple US ship points,Apply Costco Wholesale Liquidations on B-Stock; restricted approval; home furnishings category listed on marketplace page,1_retailer_direct_marketplace,Yes,5,Official Costco liquidation; premium hard goods; competitive bidding,,,
8,Sam's Club / SamsClub.com,e_retailer,strong,home_garden_appliances_furniture_electronics,Club returns/overstock via official B-Stock marketplace,https://bstock.com/samsclub,https://bstock.com/samsclub/about/,Yes_TL_LTL,Returns; overstock; like-new to fair,Multiple US; CH Robinson binding ship per about page,Apply Sam's Club Liquidations; review binding shipping rules; home & garden in category list,1_retailer_direct_marketplace,Yes,5,Official channel; competes with Costco for similar buyer profile,,,
9,Best Buy / BestBuy.com,e_retailer,adjacent_appliances_plus_home,major_appliances_furniture_TV_stands_mattress_adjacent,Geek Squad / online returns → Best Buy Liquidation Auctions,https://bstock.com/bestbuy,https://bstock.com/blog/buying-best-buy-returns-what-you-need-to-know/,Yes_TL_LTL,Customer returns; open box; overstock appliances; some furniture lots,US e.g. TX OH CA per auctions,Register bestbuy.bstock.com; strong for appliances; occasional furniture/fitness TL—verify manifest,1_retailer_direct_marketplace,Yes,5,Appliance-heavy; furniture row exists but not primary furniture chain,,,
10,Amazon Liquidation (Europe),e_retailer,strong_mix,home_kitchen_GM,EU FBA/returns liquidation,https://bstock.com/amazoneu,,Yes_region_dependent,Returns; overstock,UK Slovakia etc.,Separate EU registration if customer exports,1_retailer_direct_marketplace,Varies,4,Include only if customer does EU sourcing,,,
