spa_name,website,city,state,zip,employee_count_estimate,google_review_count,instagram_handle,job_postings_text,leadership_notes,services_notes,source_notes
Potomac Aesthetics Med Spa,,Potomac,MD,20854,12,84,@potomac_aesthetics_example,Business Development Coordinator — grow membership pipeline.,Rebranded 2025; added body contouring.,Botox fillers laser membership,VaR seed — replace with live data
Great Falls Skin & Laser,,Great Falls,VA,22066,8,41,,Front Desk Patient Coordinator — scheduling volume up.,Founder-led; phone-only booking per site review.,Injectables skin laser,Premium zip weak online booking signal
McLean Cosmetic Studio,,McLean,VA,22101,15,120,@mclean_cosmetic_example,Marketing Coordinator — social and email campaigns.,,Full face body; VIP membership language,Strong social; opportunity for CRM unify
Georgetown Med Spa Collective,,Washington,DC,20007,10,95,,,New medical director announced Q1.,Luxury positioning NW clientele,Serves affluent zip; check nurture gap
Bethesda Renewal Med Spa,,Bethesda,MD,20814,18,156,@bethesda_renewal,Patient Experience Manager — reduce wait times per reviews.,Reviews mention scheduling follow-up issues.,Injectables wellness IV,Review theme ops pain
Tysons Med Aesthetics,,McLean,VA,22102,22,200,@tysons_med_aesthetics,,Managed by national marketing group — footer credits agency.,Multiple modalities,Exclude candidate X01 if agency confirmed
Nova Discount Injectables,,Fairfax,VA,22030,6,28,,,Heavy Groupon offers on homepage.,Budget positioning,Wrong affluence fit — demo contrast
Chevy Chase Elite Med Spa,,Chevy Chase,MD,20815,14,67,@chevy_chase_elite,Social Media Manager — Instagram Reels focus.,Second location opening in Bethesda 2026.,Two-site growth signal M01,Expansion + hiring
Arlington Glow Med Spa,,Arlington,VA,22207,9,52,,Operations Coordinator — Excel-based reporting daily.,Spreadsheet scheduling mentioned in careers copy.,Botox facials,Workflow fragmentation M08
District Wellness Med Spa,,Washington,DC,20016,11,73,@district_wellness_dc,,,Membership IV aesthetics,Spring Valley / Wesley Heights clientele
