rank,title,url,source_name,category,asking_price,est_resale_or_benchmark,est_margin_pct,legitimacy_score,legitimacy_note,why_surfaced,customer_verdict,customer_why
1,"Wayfair box-damage truckload (26 pallets) — Illinois","https://liquiditys.com/products/wayfair-box-damage-26-pallets-il",Liquiditys,home_furnishings,"$8,500 + freight","Comparable: Liq.com furniture pallet ~$800 bid / $12k MSRP lot; truckload retail est $45k–$85k",38,5,"Established B2B seller; posted manifest-style description; brand-new with box damage only.","High fit: home furnishings truckload; transparent ask and retail band; strong manifest narrative.",,
2,"Wayfair box-damage truckload (26 pallets) — New Jersey","https://liquiditys.com/products/wayfair-box-damage-26-pallets-nj",Liquiditys,home_furnishings,"$8,500 + freight","Same as IL comp; est retail $65k–$95k per listing",42,4,"Reputable broker but listing text mentions Target merchandise—verify manifest before buy.","Similar economics to IL load; NJ FOB may fit customer freight lanes.",,
3,"Mixed furniture box-damage (24 pallets) — Florida","https://liquiditys.com/products/bd-furniture-box-damage-24-pallets-fl",Liquiditys,home_furnishings,"$5,250 + freight","Retail est $20k–$45k; benchmark furniture pallet auctions $600–$1.2k",35,5,"Clear SKU page; mixed furniture returns; lower entry price than Wayfair loads.","Lower capital at risk; good category breadth (chairs beds desks couches).",,
4,"Liquidation.com comp: 34-pc home décor pallet (benchmark)","https://www.liquidation.com/auction/view?id=21133972",Liquidation.com,home_furnishings,"$800 current bid (benchmark)","MSRP stated $12,000+ (auction resale ceiling)",N/A,5,"Major auction platform; use for margin math only—not upstream buy.","Included so customer can calibrate resale vs upstream asks on rows 1–3.",,
5,"Worldly Treasures — brand-new manifested furniture (59 units)","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$10,325","Retail cited ~$10,325+ at $175/unit; compare to DL furniture pallet bids",28,4,"Broker list page; manifested line item; order via broker not cart—confirm photos/manifest link on page.","Fully manifested furniture SKU-level load; MOQ 15 pallets East Coast.",,
6,"Worldly Treasures — Abbyson furniture returns truckload","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$19,500","High-end furniture returns; sample manifest referenced on page",25,4,"Known premium brand; broker provides photos/manifest; still verify condition mix.","Higher-end home furnishings; 100–120 pcs / 20–24 pallets West Coast.",,
7,"Worldly Treasures — Wayfair furniture truckload","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$3,950","Unmanifested; seller claims few items can pay for load—treat as high variance",15,3,"Very low ask but unmanifested returns/undeliverables—high risk/reward.","Worth maybe if customer specializes in Wayfair resale; needs manifest discipline.",,
8,"Worldly Treasures — brand-new furniture Midwest (57 units)","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$20,500","Retail value cited $68,483 for 57 units",22,4,"Manifested new furniture; take-all two-truckload language—confirm unit mix.","New-in-box furniture concentration; Midwest FOB.",,
9,"Worldly Treasures — Macy's furniture truckload","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$9,000","Unmanifested Macy's returns; high-end pieces claimed",18,3,"Unmanifested department-store returns—verify not apparel-heavy.","Department-store furniture channel; West Coast.",,
10,"Worldly Treasures — mixed mattress & furniture","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$10,700","Retail cited $104,094; 62 units new/packaging mix",20,4,"Manifested line with photos link; mattresses add handling complexity.","Home furnishings + bedding; Southeast FOB.",,
11,"Worldly Treasures — Grand Leisure patio sets (28 sets)","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$16,620","Retail cited $75,600 @ $1,799.99/set",18,4,"Single-SKU patio program; brand new; seasonal demand risk.","Outdoor home furnishings; strong if customer moves patio inventory.",,
12,"Excess Pallet — Wayfair bulk furniture truckload (24 pallets)","https://excesspallet.com/product/wayfair-bulk-pallets-home-goods-furniture/",Excess Pallet Liquidation,home_furnishings,"Quote on site (shipping inclusive)","Est retail $70k–$90k truckload stated on page",unknown,4,"Real product page; shipping-inclusive claim—get written quote; returns/overstock mix.","Direct Wayfair-sourced narrative; living/bedroom/office/dining mix.",,
