rank,check_type,name_or_source,url_or_how_to_access,signal_ids,why_check_now,pre_channel_window,channel_status_as_of_May_2026,specific_action,customer_verdict,customer_why
1,MONITORING_SOURCE,Furniture Today — Store closings feed,https://www.furnituretoday.com/store-closings/,S01;S02;S04,Industry trade press lists US home furnishings closings weekly,Continuous — scan every Monday,Not a buyer; finds companies,Open feed; add new closings to verify list,,
2,MONITORING_SOURCE,BankruptcyObserver — new filings,https://www.bankruptcyobserver.com/,S09;S02,New Ch7/Ch11 with inventory on schedules,S09 window first 21 days after filing,Not a buyer; docket monitor,Set alert for furniture/home NAICS keywords,,
3,MONITORING_SOURCE,PACER / court filings (manual),https://pacer.uscourts.gov/,S09;S02,Early bankruptcy before 363 auction or liquidator motion,Days 1–30 post-petition,Not a buyer,Search debtor name from news leads,,
4,MONITORING_SOURCE,Google News alerts (create 5),https://www.google.com/alerts,S01;S04;S11,Automate signal S01 queries,Continuous,Not a buyer,"Create alerts: furniture store closing; furniture excess inventory warehouse; furniture Chapter 11",,
5,MONITORING_SOURCE,Indeed — returns/disposition jobs,https://www.indeed.com/jobs?q=returns+manager+furniture,S03,Retailers hiring before vendor locked,When new posts appear,Not a buyer,Weekly search; employer must be retailer not goTRG,,
6,MONITORING_SOURCE,LoopNet — furniture DC sublease,https://www.loopnet.com/search/commercial-real-estate/for-lease/?,S08,Warehouse vacate may include inventory,When new listings,Not a buyer,Filter industrial + furniture/distribution keywords,,
7,MONITORING_SOURCE,RLA — Reverse Logistics Association,https://www.rlassociation.org/,S14;network,Meet operators who see trapped inventory before public sale,Membership/events,Not inventory,Consider join for intros—not a truckload list,,
8,SPECIFIC_COMPANY,Greenbaum Home Furnishings,https://greenbaumfurnishings.com/,S11;S01,Bellevue WA; retirement sale; store open through May 2026 per trade press,May 2026 — may still have backroom/warehouse stock,Self-run retirement — no PFP/Hilco in articles,Call before May end; ask bulk TL after floor sale,,
9,SPECIFIC_COMPANY,Weir's Furniture Village (4 DFW stores),https://www.weirsfurniture.com/,S01;S11,Closeout began Mar 26 2026; 150k+ sq ft combined,May–Jun 2026 while merchandise moves,Board-led closeout — verify no Hilco/PFP on signage,Visit DFW stores or call HQ; bulk before empty,,
10,SPECIFIC_COMPANY,Supernova Furniture (Ch11 filed Apr 15 2026),https://www.pacermonitor.com/public/case/64147796/SupernovafurniturecomRosenberg,_LLC,S09,Small TX furniture e-comm; Ch11 Apr 2026; monitor for asset sale,Next 60–90 days on docket,No public B-Stock found; early Ch11,Email debtor counsel Baker Reese firm; watch 363 motions,,
11,SPECIFIC_COMPANY,The Container Store (post-merger DC inventory),https://www.containerstore.com/,S10,Merger with Bed Bath Apr 2026; DC inventory may exit separately from stores,2026 integration period,Strategic not full bankruptcy; DC phase often opaque,Research Coppell DC; broker intro; not store GOB,,
12,SPECIFIC_COMPANY,eSolutions / Bush Furniture (receiver),https://www.pwc.com/ca/en/services/insolvency-assignments/e-solutionsgroup.html,S07;S09,Manufacturer receivership May 2026; court-supervised asset sale,Active 2026,Channel = PwC receiver not B-Stock,Contact PwC re RTA/home office inventory purchase,,
13,SPECIFIC_COMPANY,RoomPlace (Ch7 Apr 6 2026),https://www.bankruptcyobserver.com/bankruptcy-case/the-roomplace-furniture-and-mattress-1,S09;S02,Chicago area; Ch7 active; trustee may still allocate assets,Late but monitor docket,Trustee assigned — may still take direct offers,Contact trustee David R Herzog per public filings,,
14,SPECIFIC_COMPANY,Wren Kitchens US (Ch7 Apr 24 2026),https://businessofhome.com/articles/wren-kitchens-files-for-bankruptcy-and-halts-us-operations,S02;S09,Kitchen/cabinets; Hanover PA mfg + 15 showrooms,Apr–Jun 2026,Ch7 abrupt — trustee phase,Monitor DE Ch7 for fixture/inventory sale notices,,
15,SPECIFIC_COMPANY,Gustafson's Furniture (Rockford),https://www.gustafsonsfurnituresale.com/,S15_NEGATIVE,PFP sale live since May 14 — use as CLOSED window example only,Window closed May 2026,PFP assigned — NOT pre-channel,Do not outreach; study timing only,,
16,SPECIFIC_COMPANY,Value City / American Signature,S15_NEGATIVE,https://shopvcf.com/,S15_NEGATIVE,All stores closed; Hilco/Gordon/SB360 ran GOB,Closed,Channel long assigned,Benchmark only if lots appear downstream,,
17,SPECIFIC_COMPANY,Circle Furniture,S15_NEGATIVE,https://www.bidspotter.com/,S15_NEGATIVE,Saperstein auctions completed spring 2026,Closed,Channel assigned,Do not outreach,,
18,INTERNAL,Customer interview — rows 11–12 in example CSV,Pre-channel-example-leads.csv,S14,Highest yield: friend's actual gem sources,N/A,N/A,Fill in meeting,,
19,INTERNAL,Exclude list — any entity on B-Stock seller index,https://bstock.com/buy/sellers,S15,Auto-kill false positives,Before outreach,Channel assigned,Search company name + bstock before calling,,
