rank,signal_id,signal_name,trap_types,signal_role,what_it_indicates,why_pre_channel_gem,primary_sources,search_or_monitor_queries,positive_indicators,already_has_channel_exclude_if,verification_steps,automation_phase,priority_home_goods,customer_verdict,customer_why
1,S01,Distress_before_liquidator_named,closing;overstock,hunt,Retailer/manufacturer in financial trouble but no Hilco/PFP/B-Stock/ReturnPro mentioned yet,Short window to offer direct TL buy before professional disposition contract,Local news; trade press; early whispers before PR,PACER docket before press,"""furniture"" ""closing"" -liquidation -Hilco -""going out of business sale"" operator",Store closing announced; warehouse mentioned; no named GOB firm in first articles,Press release names SB360 Hilco Gordon Brothers PFP ReturnPro or B-Stock partnership,1) Read first 3 news articles 2) Search entity + liquidator names 3) Call/store visit if local,Phase0_manual; Phase1_news_alerts,high,,,
2,S02,Operational_shutdown_before_bankruptcy,closing;returns,hunt,Stores closed or ops halted weeks before Ch7/Ch11 filing appears in papers,Inventory may sit in DC/showroom with no formal disposition yet,Court filings; local TV/news; employee posts,"""closed abruptly"" furniture; ""before"" bankruptcy filing",Dec closure news precedes bankruptcy by 30+ days; customer deposit chaos,S27 bankruptcy PR published OR Ch7 filed with trustee + auction schedule already published,Compare closure date vs petition date; read customer complaint stories,Phase0_manual; Phase1_news_alerts,high,,,
3,S03,Returns_backlog_without_disposition_hire,returns,hunt,Company hiring returns/disposition roles at the retailer—not at a 3PL liquidator,They may be building internal process because no vendor locked yet,Indeed LinkedIn Glassdoor,"""returns manager"" furniture; ""reverse logistics"" retailer -ReturnPro -goTRG",Job posted at retailer brand; mentions excess returns volume; new role,Job is at ReturnPro Inmar Liquidity Services B-Stock OR employer is S26 liquidation industry,Confirm employer is retailer/brand; note DC location in JD,Phase1_job_alerts,medium,,,
4,S04,Excess_inventory_press_no_buyer_named,closing;returns;overstock,hunt,Trade or earnings coverage cites excess stock warehouse costs; no liquidator cited,Management may accept first serious truckload offer,Furniture Today earnings; industry blogs; local biz journals,"""excess inventory"" furniture; ""warehouse"" ""carrying costs""",CEO/CFO quotes on inventory; seasonal miss; tariff overstock,Article says retained Hilco or listed on B-Stock,Read full article; search follow-ups for disposition,Phase1_RSS,medium,,,
5,S05,3PL_storing_unsold_retail_inventory,returns,hunt,Third-party warehouse holds aged/returned product; owner not moving it,3PL may pressure client or accept introducer to bulk buyer,Overstock Trader seller docs; 3PL industry; freight brokers; LinkedIn,"""abandoned inventory"" warehouse; ""storage fees"" returns 3PL",3PL post about client inventory; lien threats; unpaid storage,Inventory already listed on DL BULQ B-Stock OR 3PL is S26 liquidation industry,Identify 3PL vs retailer; confirm legal owner of goods,Phase0_network; Phase2_hard,high,,,
6,S06,Regional_ecommerce_furniture_stress,returns,hunt,Strong dot-com home goods; weak reverse-logistics maturity; no public B2B program,May negotiate direct before joining marketplace,SimilarWeb lists; state biz search; site returns policy,"""shopify"" furniture high returns; regional furniture online store",High return policy visibility; single DC; no careers page for liquidation,Already on Wayfair-style marketplace as seller only OR S26 entity,Check for B-Stock; review About/Careers; news,Phase0_manual,high,,,
7,S07,Manufacturer_overstock_no_retail_partner,overstock,hunt,Tariff cancel order factory overrun; factory or importer warehouse full,Factory may sell TL once to avoid destruction,Industry trade; import records; LinkedIn factory posts,"""overstock"" ""furniture"" factory; ""cancelled order"" container",Factory direct posts; warehouse full; need space by date,Factory already uses Via Trading B-Stock regularly,Verify factory vs broker; ask for manifest,Phase0_manual,medium,,,
8,S08,Warehouse_sublease_or_distress_lease,closing;returns;overstock,hunt,Furniture DC/showroom space listed; tenant vacating; goods may remain,Landlord or tenant may need bulk take-away,CoStar LoopNet Crexi local brokers,"""furniture"" ""distribution"" sublease; ""inventory"" ""must vacate""",Short lease term; mentions racking inventory left behind,Professional auctioneer named in listing,Call broker; ask if inventory included; site visit,Phase1_lease_alerts,medium,,,
9,S09,Ch11_early_docket_no_press_no_liquidator,closing;overstock,hunt,Court docket shows new Ch11 with inventory on schedules BEFORE bankruptcy press/liquidator—silent early window,363 sale period outreach to debtor counsel before public story,PACER direct monitor (not BankruptcyObserver PR feed),Entity in docket only; no news hit yet; schedules show inventory; no stalking horse,S27 press release OR newspaper bankruptcy story OR stalking horse approved OR 363 auction live,Monitor docket daily pre-press; contact debtor counsel with TL offer,Phase1_PACER_early,medium,,,
10,S10,Strategic_store_closure_not_bankruptcy,closing;returns,hunt,Retailer pruning stores; managing own clearance; DC inventory may lag stores,Post-store-clearance DC phase often less public than GOB signs,Retail Dive Furniture Today company PR,"""store closing"" furniture ""strategic""; ""optimization"" stores",Limited store count; company still solvent; mentions DC inventory separately,Full chain liquidation with Hilco already running,Read PR; map DC locations; timing post retail floor clear,Phase0_manual,medium,,,
11,S11,Local_GOB_not_PFP_run,closing,hunt,Independent store everything must go; owner-run; not national GOB marketing firm,Owner may sell bulk remainder after retail floor picked clean,Facebook local news Craigslist,"""everything must go"" furniture [city]; -PFP -""Planned Furniture""",Single location; family owner; phone in ad,PFP Hilco banner on storefront or ad OR S26 liquidation company running sale,Visit store; ask owner about warehouse/backroom TL,Phase0_manual; Phase1_local_ads,high,,,
12,S12,Dot_com_return_rate_spike_public,returns,hunt,Company complains about returns cost in press; no reverse-logistics vendor named,Ops pain = openness to first buyer if approached respectfully,Podcasts earnings calls trade press,"""return rate"" furniture ecommerce",Quantified return pain; initiative to reduce returns,Partnership announced with ReturnPro Narvar Optoro,Find transcript; cross-check vendor announcements,Phase1_alerts,low,,,
13,S13,UCC_or_lender_inventory_collateral,financial,hunt,Lender files on inventory; borrower default; goods encumbered,May need quick monetization before auction,UCC filings state courts (manual),UCC furniture retailer inventory,Default notice; asset-based lender,Public auction notice with auctioneer,Pull filing; identify borrower facility,Phase1_ucc,medium,,,
14,S14,Customer_past_win_pattern,closing;returns;overstock,calibrate,Interview: replicate deals customer already got,Defines positive training label—not a web find,Customer meeting,Ask: last 3 gems—timing source relationship,Story: called owner; before liquidator; 3PL intro,Cannot verify externally,Record verbatim; tag signal IDs,Phase0_required,high,,,
