agency_name,website,city,state,employee_count_estimate,vertical_focus,job_postings_text,source_notes,clutch_url,linkedin_company_url
Revv Partners,https://www.revvpartners.com,North Bethesda,MD,8,B2B SMB HubSpot inbound,,HubSpot MD SMB explicit; seed from reseller verify,,
Donnelly Marketing Group,https://donnellymarketing.com,Maryland,MD,5,small business fractional marketing,,HubSpot MD fractional SMB,,
ElectricSage,https://electricsage.com,Leonardtown,MD,5,SMB nonprofits hospitality Southern MD,,HubSpot Platinum SOMD SMB,,
Harpoon Marketing,https://harpoonmarketing.com,Maryland,MD,10,SMB growth,,HubSpot MD provider,,
Juice Box Ops,https://juiceboxops.com,Maryland,MD,10,SMB HubSpot CRM,,HubSpot Gold MD,,
Services America,https://servicesamerica.com,DMV,VA,12,home services HVAC plumbing,,DMV home-services marketing systems,,
LUD Marketing LLC,https://ludmarketingllc.com,Baltimore,MD,10,law home services coaches MD DC VA,,GHL on site; DMV since 2019,,
Work Smarter Digital,https://worksmarterdigital.com,Arlington,VA,6,local SMB med spa agencies,,Gold-path GHL white-label; also Big Band prospect,,
Social Driver,https://socialdriver.com,Washington,DC,15,associations nonprofits SMB,,DC digital agency; verify SMB vs assoc focus,https://clutch.co/profile/social-driver,
Bluetext,https://bluetext.com,Washington,DC,40,gov B2B tech,,Verify size — may exclude X02; include for filter test,,
Mambo Media,https://mambomedia.com,Washington,DC,8,nonprofit association SMB,,Boutique DC digital,,
Delightful Communications,https://delightful.com,Washington,DC,6,B2B SMB messaging,,Small DC shop,,
The Cyphers Agency,https://thecyphersagency.com,Tysons,VA,12,consumer B2B local,,Tysons full-service,,
Eberly & Collard Public Relations,https://eberlycollard.com,Falls Church,VA,8,local SMB PR digital,,PR+digital hybrid,,
Zero Chaos Marketing,https://zerochaosmarketing.com,Rockville,MD,6,local small business,,Rockville SMB focus,,
Brandetize,https://brandetize.com,Potomac,MD,10,coaches consultants SMB,,Potomac marketing,,
Thrive Internet Marketing,https://thriveagency.com,Arlington,VA,50,national multi-location,,Likely X02 exclude test row,,
Silverback Strategies,https://silverbackstrategies.com,Alexandria,VA,25,B2B performance,,May exceed 15 FTE — filter test,,
Marketbridge,https://marketbridge.com,Bethesda,MD,200,enterprise B2B,,X02 exclude test,,
Curious Media,https://curiousmedia.com,Washington,DC,8,restaurants hospitality local,,Local vertical SMB,,
PBJ Marketing,https://pbjmarketing.com,Washington,DC,12,legal cannabis home services,,Vertical SMB pages,,
Brandefined,https://brandefined.com,Rockville,MD,7,local SMB,,Rockville boutique,,
Digital Firefly Marketing,https://digitalfireflymarketing.com,Gaithersburg,MD,6,nonprofit SMB,,Gaithersburg,,
SEO Advantage,https://seoadvantage.com,Rockville,MD,10,local SMB SEO,,Rockville SEO shop,,
Platinum Marketing,https://platinum-marketing.com,Washington,DC,8,local business,,DC metro,,
