agency_name,website,domain,city,state,reject_reason
Go Digital Up,https://godigital-up.com/,godigital-up.com,,VA,client_type: no local SMB portfolio signals
Gazz Digital,https://bit.ly/3oTQ1Bo,bit.ly,,VA,geography: outside allowed territory
The Pocket SEO Digital Marketing Agency,https://thepocketseo.com/,thepocketseo.com,,VA,client_type: no local SMB portfolio signals
Top Floor Marketing,https://www.topfloormarketing.net/,topfloormarketing.net,,VA,geography: outside allowed territory
KME.digital,https://kme.digital/,kme.digital,,VA,geography: Alexandria excluded
Buarich - Web Design & Digital Marketing Agency,https://www.buarich.com/,buarich.com,,VA,client_type: no local SMB portfolio signals
Holly's Digital Marketing Agency,https://hollysdigitalmarketingagency.com/,hollysdigitalmarketingagency.com,,VA,client_type: no local SMB portfolio signals
Binary Ideas Local Marketing,https://binaryideas.com/?utm_source=GMB&utm_medium=Website,binaryideas.com,,VA,client_type: no local SMB portfolio signals
Avosina Digital,http://avosinadigital.com/,avosinadigital.com,,VA,client_type: no local SMB portfolio signals
The Kingdom Digital Marketing,http://instabio.cc/TheKingdomMarketing,instabio.cc,,VA,client_type: no local SMB portfolio signals
Media Shark,https://www.themediashark.com/,themediashark.com,,VA,geography: outside allowed territory
DigiAds360,http://www.digiads360.com/,digiads360.com,,VA,client_type: no local SMB portfolio signals
Dazzling Digital Marketing LLC,http://www.dazzledm.com/,dazzledm.com,,VA,client_type: no local SMB portfolio signals
Climb Digital Agency,http://www.climbdigitalagency.com/,climbdigitalagency.com,,VA,client_type: no local SMB portfolio signals
Global Marketing LLC,https://globalmarketing.vip/,globalmarketing.vip,,VA,client_type: no local SMB portfolio signals
Reef Digital,https://www.reef.digital/,reef.digital,,VA,client_type: no local SMB portfolio signals
Freshy - Website Design,https://freshysites.com/manassas/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=Google+My+Business,freshysites.com,,VA,client_type: no local SMB portfolio signals
Imagine,https://imaginedc.net/,imaginedc.net,,VA,client_type: no local SMB portfolio signals
Stratifi Creative,https://www.stratificreative.com/,stratificreative.com,,VA,client_type: no local SMB portfolio signals
Flair Communication,https://www.flaircommunication.com/,flaircommunication.com,,VA,client_type: no local SMB portfolio signals
The Alpha Agency,https://alphadvertising.com/,alphadvertising.com,,VA,client_type: no local SMB portfolio signals
"The Childress Agency, Inc.",http://www.childressagency.com/,childressagency.com,,VA,client_type: no local SMB portfolio signals
Metro Nova Creative,https://www.metronovacreative.com/,metronovacreative.com,,VA,client_type: no local SMB portfolio signals
Voyager Marketing,https://voyagermark.com/,voyagermark.com,,VA,client_type: no local SMB portfolio signals
Reclaim Digital Marketing,http://reclaimyourmarketing.com/,reclaimyourmarketing.com,,VA,geography: outside allowed territory
