row_type,rank,priority,entity_name,address_or_metro,signal_ids,channel_status_May_2026,why_on_list,concrete_next_step,travel_from_NOVA,pre_channel_likelihood,notes_for_joe,customer_would_call,customer_why
INTRO,,,How to use this sheet,,,,,"One file for Joe (Northern VA). GUIDE rows (top) = instructions. LEAD rows = companies and monitors. In Excel: turn on Filter → show row_type = LEAD for the action list only.",,,,,
INTRO,,,Purpose,,,,,"Concrete DMV pre-channel list BEFORE we ask Joe to rank signal types. Assumes home base Northern VA. Not a promise of truckloads—a promise of earlier calls than liquidator press releases.",,,,,
GEO,,,Core zone (prioritize),,"Fairfax, Loudoun, Prince William, Arlington, Alexandria, Falls Church; DC; Montgomery, Prince George's, Howard MD",,,Typical drive 15–45 min from NOVA,,,,,
GEO,,,Stretch zone (flag long haul),,"Harford (Aberdeen Wayfair DC), Anne Arundel, Baltimore, Richmond, Newport News",,,Typical drive 60–120 min,,,,Default max first visit ~60 min until Joe says otherwise.,,
REALITY,,,DMV reality — Marlo + Value City,,,,,"Big local furniture already went through channels (Marlo closed Dec 2025; Value City Hilco GOB spring 2026). Use LESSON_CLOSED rows as timing examples—not live gems.",,,,,
REALITY,,,DMV reality — Random Harvest,,,,,"Closed May 2 2026. One call still worth it (warehouse remainder?) but unlikely full truckload.",,,,,
REALITY,,,DMV reality — Wayfair Aberdeen,,,,,"Real furniture returns via B-Stock only (~75 min). BENCHMARK row for pricing—not pre-channel cold call.",,,,,
REALITY,,,DMV reality — WARN,,,,,"Few furniture WARN hits in MD/VA 2025–26. Pair WARN with news + channel gate; do not rely on WARN alone.",,,,,
REALITY,,,DMV takeaway,,,,,"Pre-channel here = smaller independents + early distress. Win = call owner BEFORE PFP/Hilco—not scrape load boards or B-Stock.",,,,,
LEGEND,,,CALL_THIS_WEEK,,,,,Live lead worth a phone call now,,,,,,
LEGEND,,,MONITOR,,,,,Ongoing watch or setup task (LoopNet Indeed alerts),,,,,,
LEGEND,,,MONITOR_SOURCE,,,,,Recurring feed to check on a schedule,,,,,,
LEGEND,,,LESSON_CLOSED,,,,,Too late for pre-channel—study timing only,,,,,,
LEGEND,,,BENCHMARK_NOT_PRECHANNEL,,,,,Already on B-Stock or public channel—margin math only,,,,,,
ACTION,1,CALL_THIS_WEEK,This week action 1 — Random Harvest call,703-440-8310 Heirloom Express,,,,Call: any bulk storage or remainder after Georgetown close?,~15 min,,Only live CALL on the lead list. Owner-run S11.,,
ACTION,2,MONITOR,This week action 2 — Set Google Alerts,https://www.google.com/alerts,,S01;S11;S04,,Create 3 alerts (see ALERT rows below) + bookmark Furniture Today closings,~20 min,,Fuels next month's leads.,,
ACTION,3,MONITOR,This week action 3 — LoopNet saved search,LoopNet industrial MD/VA,,S08,,Search: for lease + furniture OR distribution OR returns + sublease,~20 min,,Ask broker: is inventory included?,,
SCRIPT,,,Cold-call script (30 sec),,,,,"Hi I'm [Joe]—we buy home furnishings and returns in truckload quantity for resale direct from the seller. I'm not a liquidator and I don't work for an auction site. I saw [store] [closing]. Is any warehouse or backroom inventory still on hand you'd sell by the trailer rather than piecemeal? If yes—how many pallets or trailers pickup city and who signs the bill of sale?",,,,"Ch11/receiver: use email + buyer profile + proof of funds instead.",,
ALERT,,,Google Alert 1,,,,,"""furniture"" (""closing"" OR ""going out of business"" OR ""warehouse sale"") (""Virginia"" OR ""Maryland"" OR ""DC"" OR ""Northern Virginia"")",,,,Create at google.com/alerts — once per day digest.,,
ALERT,,,Google Alert 2,,,,,"""excess inventory"" furniture (""warehouse"" OR ""distribution center"") (Virginia OR Maryland)",,,,,,
ALERT,,,Google Alert 3,,,,,"""Chapter 11"" furniture (Virginia OR Maryland OR ""District of Columbia"")",,,,,,
ALERT,,,Rule after every alert hit,,,,,"Search company name + Hilco + B-Stock + Planned Furniture before calling. If found → channel assigned → do not chase as pre-channel.",,,,,,
RHYTHM,,,Monday,,,,,Furniture Today closings → filter DMV → channel gate → add new LEAD rows,~20 min,,,,,
RHYTHM,,,Wednesday,,,,,"Indeed: returns manager + 25 mi Fairfax VA; exclude ReturnPro and goTRG",~15 min,,,,,
RHYTHM,,,Friday,,,,,LoopNet/Crexi refresh; call broker on any inventory mention,~20 min,,,,,
RHYTHM,,,Monthly,,,,,MD + VA + DC WARN logs — filter furniture / home NAICS 442,~30 min,,,,,
RHYTHM,,,When news hits,,,,,PACER EDVA or D.Md. if Chapter 11 filing,~30 min,,,,,
GOAL,,,Realistic target,,,,,0–2 inventory confirmed on phone per month in Core zone at start,,,,,,
SIGNAL,1,,S11 — Local owner GOB / retirement,,,,,Marlo / Random Harvest pattern—no PFP in first articles,,,,Bet #1 for DMV until Joe ranks signals.,,
SIGNAL,2,,S01 — Distress before liquidator,,,,,Small chains in trade press,,,,Bet #2,,
SIGNAL,3,,S08 — Warehouse / lease vacate,,,,,PG / Montgomery industrial (e.g. post-Marlo sites),,,,Bet #3,,
SIGNAL,4,,S02 — Shutdown before bankruptcy,,,,,Less common; high value,,,,Bet #4,,
SIGNAL,5,,S09 — Ch11 under 30 days,,,,,EDVA / D.Md. filings,,,,Bet #5,,
SIGNAL,6,,S03 — Returns manager job,,,,,Indeed around Fairfax,,,,Bet #6,,
SIGNAL,7,,S10 — Strategic closure,,,,,"Macy's HD—lower yield; managed disposition",,,,Bet #7. De-prioritize S15 B-Stock and Hilco GOB locally.,,
QUESTION,,,After review Q1 — Drive time,,,,,Is 60 minutes max for first visit or will you go Baltimore/Richmond for the right TL?,,,,Fill customer_would_call column on LEAD rows: yes / no / too late,,
QUESTION,,,After review Q2 — Which rows,,,,,Which LEAD rows would you actually have called?,,,,,,
QUESTION,,,After review Q3 — Categories,,,,,Furniture only or include décor mattresses HD-style home improvement?,,,,,,
QUESTION,,,After review Q4 — Wayfair Aberdeen,,,,,B-Stock benchmark only or alert when MD auctions post?,,,,,,
QUESTION,,,After review Q5 — Past gems,,,,,Name 1–2 local deals (even old)—we tag signal IDs and replicate monitors,,,,,,
NEXT,,,If Joe likes this — Band It next,,,,,"Automate alerts + channel detector; weekly DMV top 5; log yes/no to train signal weights",,,,,,
