rank,agency_name,website,city,state,employee_estimate,agency_score,why_flagged,signals_fired,exclude_flags,evidence_links,verify_status,verification_hints,source_notes
1,"Auxilium Technology – Web Design & Local SEO Agency in Gaithersburg, Rockville, MD, USA",https://auxiliumtechnology.com/,MD 20878,USA,,93,Flagged: H01 (new business); H02 (chiropract|law firm|plumb|small business); H03 (content on site),H01:new business|H02:chiropract|law firm|plumb|small business|H03:content on site|H05:referrals|H06:new clients/hiring|H07:ghl/white-label,,https://auxiliumtechnology.com/|https://auxiliumtechnology.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Rockville MD; maps=https://maps.google.com/?cid=13625124170515289173&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,KME.digital,https://kme.digital/,VA 22314,USA,,90,Flagged: H01 (business development); H02 (legal|nonprofit); H03 (content on site),H01:business development|H02:legal|nonprofit|H03:content on site|H04:directory|H06:new clients/hiring,,https://kme.digital/|https://kme.digital/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Arlington VA; maps=https://maps.google.com/?cid=11882931039637534147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,Brandefined,https://brandefined.com,Rockville,MD,7,80,Flagged: H01 (new business); H02 (legal|small business|smb); H03 (content on site),H01:new business|H02:legal|small business|smb|H03:content on site|H06:new clients/hiring,,https://brandefined.com|https://brandefined.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,Rockville boutique
4,Dreamscape Marketing,https://www.dreamscapemarketing.com/,MD 21046,USA,,80,Flagged: H01 (business development); H02 (dental|small business); H03 (content on site),H01:business development|H02:dental|small business|H03:content on site|H06:new clients/hiring,,https://www.dreamscapemarketing.com/|https://www.dreamscapemarketing.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Rockville MD; maps=https://maps.google.com/?cid=5558719006672737345&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,Apollo Marketing,https://apollollc.com/,MD 21704,USA,,80,Flagged: H01 (new business); H02 (chiropract|contractor|hvac|law firm|legal|restaurant); H03 (content on site),H01:new business|H02:chiropract|contractor|hvac|law firm|legal|restaurant|H03:content on site|H06:new clients/hiring,,https://apollollc.com/|https://apollollc.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Frederick MD; maps=https://maps.google.com/?cid=14962572092000866796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,BluShark Digital LLC,https://blusharkdigital.com/?utm_source=GMBlisting&utm_medium=organic,DC 20002,USA,,78,Flagged: H02 (law firm|legal); H03 (content on site); H04 (directory),H02:law firm|legal|H03:content on site|H04:directory|H05:referrals|H06:new clients/hiring,,https://blusharkdigital.com/?utm_source=GMBlisting&utm_medium=organic,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Washington DC; maps=https://maps.google.com/?cid=10143318425922995798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,LUD Marketing LLC,https://ludmarketingllc.com,Baltimore,MD,10,77,Flagged: H01 (client acquisition); H02 (home services|legal|nonprofit|small business); H03 (content on site),H01:client acquisition|H02:home services|legal|nonprofit|small business|H03:content on site|H07:ghl/white-label,,https://ludmarketingllc.com|https://ludmarketingllc.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,GHL on site; DMV since 2019
8,Herbst Marketing,https://herbstmarketing.com/,VA 22315,USA,,72,Flagged: H01 (growth marketing); H02 (hvac|plumb); H03 (content on site),H01:growth marketing|H02:hvac|plumb|H03:content on site,,https://herbstmarketing.com/|https://herbstmarketing.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Alexandria VA; maps=https://maps.google.com/?cid=11870345110913861379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,TESSA Marketing & Technology,https://tessa.tech/?utm_campaign=gmb,VA 22102,USA,,72,Flagged: H01 (business development); H02 (contractor|dental|home services|legal); H03 (content on site),H01:business development|H02:contractor|dental|home services|legal|H03:content on site,,https://tessa.tech/?utm_campaign=gmb|https://tessa.tech/?utm_campaign=gmb/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Tysons VA; maps=https://maps.google.com/?cid=2149594378385141861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,Hit Me SEO,https://www.hitmeseo.net/,MD 20882,USA,,72,Flagged: H01 (client acquisition); H02 (home services|legal|small business); H03 (content on site),H01:client acquisition|H02:home services|legal|small business|H03:content on site,,https://www.hitmeseo.net/|https://www.hitmeseo.net/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Gaithersburg MD; maps=https://maps.google.com/?cid=11935537130941170090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
