rank,business_name,address_or_region,states_or_market,closure_type,sale_status,category,verified_url,sale_or_case_url,liquidation_operator,inventory_signal,how_wholesale_buyer_approaches,legitimacy_score,legitimacy_note,customer_verdict,customer_why
1,Gustafson's Furniture & Mattress,"6651 E State St, Rockford IL",IL / Rockford,orderly_GOB_no_bankruptcy,active_in_store,home_furnishings_mattress,https://homenewsnow.com/blog/2026/05/25/gustafsons-furniture-mattress-goes-out-of-business-after-98-years/,https://www.gustafsonsfurnituresale.com,Planned Furniture Promotions (PFP),~130k sq ft showroom; whole-home + major mattress brands; building also for sale,Shop in-store during GOB; after public sale contact PFP (pfpnow.com) for residual/bulk; building sale via Gambino Realtors if buying real estate + fixtures,5,Family retailer since 1928; PFP-run sale; trade press + local news; not a broker marketplace,,,
2,Weir's Furniture Village Inc,"4 stores: Dallas, Plano, Southlake, Farmers Branch TX",TX / DFW,distress_GOB,active_in_store,home_furnishings,https://www.dallasnews.com/business/retail/2026/03/25/dallas-furniture-fixture-weirs-is-closing-after-nearly-eight-decades/,https://www.weirsfurniture.com,Self (board-led closeout),4 locations ~150k+ sq ft combined; closeout started Mar 26 2026,Visit stores during closeout; near end of sale contact company/receiver if bulk lots offered; monitor for warehouse or fixture auction if announced,5,78-year family retailer; board statement citing unsustainable ops; major Dallas media; not a liquidation ad scam,,,
3,Greenbaum Home Furnishings,"929 118th Ave SE, Bellevue WA",WA / Seattle Eastside,retirement_GOB,active_in_store_through_May,home_furnishings,https://www.furnituretoday.com/store-closings/family-owned-washington-retailer-wrapping-67-year-run/,https://greenbaumfurnishings.com,Self (retirement sale),Last store after shrinking from 4 locations; full inventory clearance,In-store retirement sale through May 2026; ask owners/mgmt about bulk purchase of remaining stock before doors close,5,67-year family business; no bankruptcy; Furniture Today + company site countdown,,,
4,Kasala Modern Home Furnishings,"Bellevue + Seattle showrooms (Tukwila closed)",WA / Puget Sound,retirement_GOB,active_or_late_wind_down,home_furnishings_modern,https://www.kiro7.com/news/local/pnw-dedicated-furniture-chain-closing-all-locations-going-out-of-business-sale-underway/MTHLGXZYQZBKTLL5JKOOI6BL3A/,https://www.kasala.com,Self,~$5M inventory stated; sale began Feb 6 2026,Visit open showrooms immediately; negotiate bulk buy with ownership before bare-walls deadline,5,39-year independent; owner retirement; no bankruptcy; local TV + PSBJ,,,
5,Josh Underhill's Family Furniture,"3930 196th St SW, Lynnwood WA",WA / Puget Sound,distress_GOB,active_or_winding_down,home_furnishings_mattress,https://homenewsnow.com/blog/2026/03/22/josh-underhills-family-furniture-goes-out-of-business-after-80-years/,https://www.underhills.com,Planned Furniture Promotions (PFP),24k sq ft; mattresses + branded furniture; rugs/accessories,In-store GOB (opened Mar 20); contact PFP for post-sale residual if any remains,5,80-year family legacy; PFP partner; Home News Now trade source,,,
6,Sensational Sofas & Interiors,"1195 Ridgeway Rd, Memphis TN",TN / Memphis,retirement_GOB,likely_winding_down_Q1,home_furnishings_custom,https://homenewsnow.com/blog/2026/01/14/sensational-sofas-interiors-going-out-of-business-after/,https://www.sensationalsofas.com,Planned Furniture Promotions (PFP),21k sq ft; custom/upholstery + design; building for lease,May be late—call store/PFP anyway; model for PFP-run independent GOB in your region,5,PFP-managed; 37-year family retailer; BBB now shows out of business,,,
7,Priba Furniture & Interiors,Greensboro NC,NC / Triad,retirement_GOB,active_GOB,home_furnishings_interiors,https://www.bizjournals.com/triad/news/2026/05/21/family-owned-greensboro-furniture-store-to-close.html,,Self (family),54-year retailer; completing special orders then total close,Visit store during GOB; ask family about bulk/offers on remaining floor sample and stock,4,Triad Business Journal; family-owned since 1972; paywalled article—confirm in person,,,
8,Kelsey Furniture Company,"3215 N Main St, Tuscola IL",IL / central Illinois,building_sold_forced_GOB,likely_mostly_cleared_by_May,home_furnishings_mattress,https://www.furnituretoday.com/store-closings/illinois-retailer-closing-after-67-years/,https://www.kelseyfurniture.com,Wahlquist Promotions,Explicitly selling to public AND dealers; vehicles/office included,March sale may be done—still call; listing said dealers welcome; template for building-sale forced exits,5,67-year operator; public notice on own site; Furniture Today,,,
9,American Signature Inc / Value City + ASF,89 stores: 13 states (VCF) + DE/FL (ASF),Multi-state (OH PA MI IN etc),Ch11_then_full_liquidation,stores_closed_Apr_2026; residual_possible,home_furnishings_chain,https://www.prnewswire.com/news-releases/sb360-hilco-global-and-gordon-brothers-approved-to-operate-going-out-of-business-sales-at-all-remaining-value-city-furniture-and-american-signature-furniture-stores-302657049.html,https://shopvcf.com,SB360 + Hilco Global + Gordon Brothers,Chainwide GOB Jan–Apr 2026; ~10k unfulfilled orders per court—inventory likely gone at retail,Do NOT expect store pickup—contact Hilco Global Retail Services / Gordon Brothers Retail Partnerships for residual warehouse or bulk; monitor bankruptcy asset sales,5,Largest 2026 home furnishings bankruptcy; court-approved GOB operators; stores confirmed closed,,,
10,Circle Furniture Holdings Inc,8 stores + warehouse MA and NH,MA / NH / New England,Ch7_liquidation,store_auctions_Mar-Apr_2026_may_be_closed,home_furnishings,https://www.bostonglobe.com/2026/02/03/business/circle-furniture-bankruptcy-customers/,https://www.bidspotter.com/en-us/auctioneer/paul-e-saperstein-co-inc,Paul E. Saperstein Co (court-approved),$2.2M assets vs $13.7M liabilities; 9 timed auctions on BidSpotter,Register on BidSpotter/Saperstein for next NE bankruptcy auction; ask auctioneer about unsold lots or warehouse remainder after Apr 29,5,Real Ch7; Globe/WCVB; Saperstein is established bankruptcy auctioneer—not a fake GOB ad,,,
